City,City Remapped,Combined,Year,Full Date,ES,TH,SH,Total - Sheltered,Total - Unsheltered,Total PEH,Unsheltered - Chronically Homeless,Unsheltered - Veteran,Unsheltered - Female,Unsheltered - Families,Unsheltered - Youth,Sheltered - Chronically Homeless,Sheltered - Veteran,Sheltered - Female,Sheltered - Families,Sheltered - Youth,Unsheltered - Male,Unsheltered - Female,Unsheltered - Transgender,Unsheltered - Questioning,"Unsheltered - American Indian, Alaska Native, or Indigenous",Unshelthered - Asian or Asian American,"Unsheltered - Black, African American, or African",Unsheltered - Native Hawaiian or Pacific Islander ,Unsheltered - White,Unsheltered - Mulitple Races,"Sheltered - American Indian, Alaska Native, or Indigenous",Sheltered - Asian or Asian American,"Sheltered - Black, African American, or African",Sheltered - Native Hawaiian or Pacific Islander ,Sheltered - White,Sheltered - Multiple Races
City of Carlsbad,City of Carlsbad,City of Carlsbad|2016,2016,,67,0,0,67,41,108,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Carlsbad,City of Carlsbad,City of Carlsbad|2015,2015,,67,0,0,67,12,79,13,8,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Chula Vista,City of Chula Vista,City of Chula Vista|2022,2022,,41,62,0,103,206,309,#N/A,17,55,6,18,#N/A,0,suppressed,81,21,72,27,<1,<1,2,0,14,2,81,1,0,2,18,0,69,11
City of Chula Vista,City of Chula Vista,City of Chula Vista|2021,2021,,80,77,0,157,#N/A,157,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Chula Vista,City of Chula Vista,City of Chula Vista|2020,2020,,36,65,0,101,212,313,42,7,60,1,9,0,1,49,42,43,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Chula Vista,City of Chula Vista,City of Chula Vista|2019,2019,,#N/A,#N/A,#N/A,79,242,321,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Chula Vista,City of Chula Vista,City of Chula Vista|2018,2018,,34,74,0,108,76,184,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Chula Vista,City of Chula Vista,City of Chula Vista|2017,2017,,43,62,0,105,262,367,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Chula Vista,City of Chula Vista,City of Chula Vista|2016,2016,,27,131,0,158,380,538,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Chula Vista,City of Chula Vista,City of Chula Vista|2015,2015,,19,158,0,177,321,498,193,29,132,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,132,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Coronado,City of Coronado,City of Coronado|2022,2022,,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Coronado,City of Coronado,City of Coronado|2021,2021,,0,0,0,0,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Coronado,City of Coronado,City of Coronado|2020,2020,,0,0,0,0,16,16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Coronado,City of Coronado,City of Coronado|2019,2019,,#N/A,#N/A,#N/A,0,1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Coronado,City of Coronado,City of Coronado|2018,2018,,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
